url,score,rank,title,slug
/nhsuk/conditions/lyme-disease/,0.06557377049180328,1,Lyme disease,lyme-disease
/nhsuk/conditions/lichen-sclerosus/,0.06011904761904762,2,Lichen sclerosus,lichen-sclerosus
/nhsuk/conditions/lichen-planus/,0.059533227848101264,3,Lichen planus,lichen-planus
/nhsuk/conditions/listeriosis/,0.05665469644259904,4,Listeriosis,listeriosis
/nhsuk/conditions/hodgkin-lymphoma/,0.056227909025472436,5,Hodgkin lymphoma,hodgkin-lymphoma
/nhsuk/conditions/trichomoniasis/,0.054688157042006164,6,Trichomoniasis,trichomoniasis
/nhsuk/conditions/chronic-fatigue-syndrome-cfs/,0.05423917067752684,7,Myalgic encephalomyelitis or chronic fatigue syndrome (ME/CFS),chronic-fatigue-syndrome-cfs
/nhsuk/conditions/syphilis/,0.053246753246753244,8,Syphilis,syphilis
/nhsuk/conditions/tick-borne-encephalitis/,0.05220588235294118,9,Tick-borne encephalitis (TBE),tick-borne-encephalitis
/nhsuk/conditions/lymphoedema/,0.04838709677419355,10,Lymphoedema,lymphoedema
/nhsuk/conditions/chronic-lymphocytic-leukaemia/,0.04592074592074592,11,Chronic lymphocytic leukaemia,chronic-lymphocytic-leukaemia
/nhsuk/conditions/diphtheria/,0.0452353616532721,12,Diphtheria,diphtheria
/nhsuk/conditions/lipoedema/,0.045228403437358664,13,Lipoedema,lipoedema
/nhsuk/conditions/non-hodgkin-lymphoma/,0.04411764705882353,14,Non-Hodgkin lymphoma,non-hodgkin-lymphoma
/nhsuk/conditions/polymorphic-light-eruption/,0.040952380952380955,15,Polymorphic light eruption,polymorphic-light-eruption
/nhsuk/conditions/reactive-arthritis/,0.04080854309687262,16,Reactive arthritis,reactive-arthritis
/nhsuk/conditions/toxoplasmosis/,0.04073059360730594,17,Toxoplasmosis,toxoplasmosis
/nhsuk/conditions/malaria/,0.027777777777777776,18,Malaria,malaria
/nhsuk/conditions/lambert-eaton-myasthenic-syndrome/,0.02564102564102564,19,Lambert-Eaton myasthenic syndrome,lambert-eaton-myasthenic-syndrome
/nhsuk/conditions/sexually-transmitted-infections-stis/,0.02531645569620253,20,Sexually transmitted infections (STIs),sexually-transmitted-infections-stis
